,Unnamed: 0,Title,Genre,Network,Summary,Year,Rating,Metascore,Votes,Runtime,Actors
918,918,Ojakgyo Hyungjedeul / Ojakgyo Brothers,"['family', 'romantic']",,"This is the story of a family with 4 sons who live together on a farm near Seoul. Hwang Tae Shik (Jung Woong In) is the oldest son, and a bit of a sad sack, despite being a department head physical therapist. He desperately wants to get married, and as he is nearing 40, his family wants him to as well. Hwang Tae Bum (Ryu Soo Young) is the second son and a handsome, driven, aggressive, up-and-coming reporter who is uninterested in a long-term relationship. Hwang Tae Hee (Joo Won) is the third son and a honest, justice-obsessed policeman, slow to speak his mind, but full of convictions. He is their grandma’s favorite, her “baby.” Hwang Tae Pil (Yun Woo Jin) is the youngest son, the baby of the family, and is a lazy playboy always trying to come up with the next great business scheme, as long as it’s not real work. Into their lives comes Baek Ja Eun (Uee), a spoiled, rich young woman who faces a harsh reality when her father goes missing and his business goes under, leaving her homeless and penniless. A twist of fate brings her to Ojak farm, and into the lives of the Hwang family.",20112012.0,8.1,,75.0,,"Yu-jin Kim, Joo Won, Soo-young Ryu, Jeong-yun Choi"
919,919,Boseureul Jikyeora / Protect the Boss,"['comedy', 'romantic']",SBS,"No Eun Seol finally gets a job as a secretary at a law firm after struggling with unemployment, only to fall in love with her boss, Cha Ji Heon, the immature youngest son of a chaebol family.",2011.0,7.1,,464.0,,"Nae-sang Ahn, Gi-soo Byeon, Hwa-yeon Cha, Kang-hee Choi"
920,920,Gye Baek,['historical'],MBC,A story about the life of General Gyebaek of Baekje in the mid 7th century.,2011.0,7.8,,58.0,,"Seo-jin Lee, Jae-Hyun Cho, Ji-Hyo Song, Jong-hwan Choi"
921,921,Yeoineui Hyanggi / Scent of A Woman,"['comedy', 'romantic']",SBS,"A woman, Lee Yeon Jae, is given the grim prognosis that she only has a short time left to live. She decides to quit her job at a travel agency and live her life to the fullest.",2011.0,7.9,,334.0,,"Seon-a Kim, Dong-Wook Lee, Ki-joon Uhm, Hyo-rim Seo"
922,922,Gongjooeui Namja / The Princess’ Man,"['historical', 'romantic']",KBS2,nan,2011.0,8.4,,370.0,,"Chae-won Moon, Shi-hoo Park, Jong-ho Song, Soo-hyun Hong"
923,923,Aejungmanmanse / Hooray for Love,['romantic'],MBC,A success drama about a divorced woman in her 30s.,20112012.0,,,,70 min,"Chong-ok Bae, Yi Han Jin, Bo-young Lee, Lee Tae-Sung"
924,924,Spy Myung Wol / Myung Wol the Spy,"['comedy', 'romantic']",KBS2,"An elite North Korean spy, Han Myung Wol, and her partner, Choi Ryu, infiltrates South Korea on a mission to disrupt the Hallyu Wave by kidnapping one of their top stars, Kang Woo. Despite her proficiency at her job, Myung Wol’s one weakness is her uncontrollable curiosity. Hijinks ensue when she falls in love with Kang Woo instead.",,,,,,
925,925,Musa Baek Dong Soo / Warrior Baek Dong Soo,['historical'],SBS,"Set in the Joseon Dynasty during King Jeongjo’s reign, this martial-arts fusion sageuk is centered around the events involving Crown Prince Sado’s conspiracy. Warrior Baek Dong Soo was a real-life legend who created a martial arts guide in Joseon. His group who defends King Jeongjo is pitted against a mysterious organization of assassins who plot to kill the King.",2011.0,8.1,,258.0,,"Chang-Wook Ji, Seung-ho Yoo, Ho-Chang Kim, Min-su Choi"
926,926,Neon Naege Banhaesseo / You’ve Fallen for Me,"['music', 'romantic']",MBC,nan,2011.0,7.3,,1142.0,,"Yong-hwa Jung, Shin-Hye Park, Chang-ui Song, Yi-hyeon So"
927,927,Princess Hwapyung’s Weight Loss,"['historical', 'comedy']",KBS2,nan,2010.0,4.9,,20.0,,"Hyun Wook Song, Dae-chul Choi, Yu-Yi Han, Yoo-jin Kim, Won-jong Lee"
928,928,Romaenseuka Pilyohae / I Need Romance,"['comedy', 'romantic']",tvN,"The story of the love, lives, marriage, careers and families of single and independent career women in their 30s.",2011.0,7.0,,222.0,,"Jeong-hoon Kim, Yeo-jin Choi, Tae-hee Heo, Yeon-joo Ha"
929,929,Shin-ui Quiz 2 / God’s Quiz (Season 2),"['crime', 'mystery', 'medical']",OCN,nan,2010.0,7.3,,103.0,,"Deok-Hwan Ryu, Park Jun-Myun, Joo-Hee Yoon, Nah Yoon"
930,930,Bulgurui Myeoneuri / Indomitable Daughters in Law,"['family', 'drama']",MBC,"The story of three generations of daughters-in-law who have lived in a 300-year-old traditional house. Choi Mak Nyeo is the daughter-in-law of the 11th generation. She may be small of stature, stubborn and recalcitrant, but she has lead the large household with dignity and her powerful charisma ever since her husband died.Cha Hye Ja is the daughter-in-law of the 12th generation. She lost her husband in an accident when she was young, and since then she has been dedicated to her role as a daughter-in-law of the family, taking care of the family with warmth. One day, however, her lover from the past suddenly shows up, and Hye Ja is thrown into a quandary.Oh Young Shim is the 13th generation daughter-in-law, adored by everyone for her bright personality and optimism. Unfortunately, her lack of children even after 10 years of marriage makes her increasingly guilty. The situation worsens when her husband has an affair and demands a divorce, but is killed in a sudden traffic accident.",2011.0,,,,,"Hun-Yub Choo, Lee Hanee, Lee Hun, Ye-jin Im"
931,931,Drama Special 2011,['NaN'],KBS2,nan,,,,,,
932,932,Gwanggaeto Dae Wang / King Gwanggaeto the Great,['historical'],,"If a man dreams, it will end as a dream. However, if 10,000 men dream, it could be a reality” The most powerful hero and emperor of Korean history! The glorious life of King Gwanggaeto will be unfolded before your eyes. He’s regarded as a king who restored the glory of Goguryeo by wresting power back from Baekje and led the resurgence of Goguryeo to become a major power in East Asia.A drama detailing the life of King Gwanggaeto the Great, who restored the glory of Goguryeo by wresting power back from Baekje, which had invaded Goguryeo prior to Gwanggaeto’s birth and dominated East Asia under the rule of King Geunchogo.",,,,,,
933,933,Miss Ajumma,"['family', 'romantic']",SBS,"This daily drama is about the life of Kang Geum Hwa, a divorced middle-aged woman who stands up against the world’s prejudice.",,,,,,
