,Unnamed: 0,Title,Genre,Summary,Year,Rating,Metascore,Votes,Runtime,Actors
71,71,Justified,"['action', 'crime', 'drama']","Old-school U.S. Marshal Raylan Givens is reassigned from Miami to his childhood home in the poor, rural coal mining towns in eastern Kentucky.",20102015,8.6,,76326.0,44 min,"Timothy Olyphant, Nick Searcy, Joelle Carter, Jacob Pitts"
72,72,Adventure Time,"['animation', 'action', 'adventure']","A 12-year-old boy and his best friend, wise 28-year-old dog with magical powers, go on a series of surreal adventures with each other.",20102018,8.6,,64933.0,11 min,"John DiMaggio, Jeremy Shada, Tom Kenny, Hynden Walch"
73,73,Parks and Recreation,['comedy'],The absurd antics of an Indiana town's public officials as they pursue sundry projects to make their city a better place.,20092015,8.6,,173400.0,22 min,"Amy Poehler, Jim O'Heir, Nick Offerman, Chris Pratt"
74,74,Sons of Anarchy,"['crime', 'drama', 'thriller']",A biker struggles to balance being a father and being involved in an outlaw motorcycle club.,20082014,8.6,,228521.0,45 min,"Charlie Hunnam, Katey Sagal, Mark Boone Junior, Kim Coates"
75,75,Boardwalk Empire,"['crime', 'drama', 'history']","An Atlantic City, New Jersey politician plays both sides of the law, conspiring with gangsters during the Prohibition era.",20102014,8.6,,158482.0,55 min,"Steve Buscemi, Kelly Macdonald, Michael Shannon, Shea Whigham"
76,76,Flight of the Conchords,"['comedy', 'music', 'musical']","Bret and Jemaine are Flight of the Conchords, a folk-rock band from New Zealand living in New York City in search of stardom.",20072009,8.6,,50521.0,28 min,"Jemaine Clement, Bret McKenzie, Rhys Darby, Kristen Schaal"
77,77,Mad Men,['drama'],"A drama about one of New York's most prestigious ad agencies at the beginning of the 1960s, focusing on one of the firm's most mysterious but extremely talented ad executives, Donald Draper.",20072015,8.6,,178210.0,47 min,"Jon Hamm, Elisabeth Moss, Vincent Kartheiser, January Jones"
78,78,Justice League,"['animation', 'action', 'adventure']",Seven of the most formidable heroes form arguably the most powerful team ever.,2017,6.5,,322307.0,120 min,"Zack Snyder, Ben Affleck, Gal Gadot, Jason Momoa, Ezra Miller"
79,79,Homicide: Life on the Street,"['crime', 'drama', 'mystery']",A police homicide investigation unit investigates violent crimes in the city of Baltimore.,19931999,8.6,,10436.0,60 min,"Richard Belzer, Clark Johnson, Yaphet Kotto, Kyle Secor"
80,80,Star Trek: The Next Generation,"['action', 'adventure', 'mystery']","Set almost 100 years after Captain Kirk's five-year mission, a new generation of Starfleet officers set off in the U.S.S. Enterprise-D on their own mission to go where no one has gone before.",19871994,8.6,,85664.0,44 min,"Patrick Stewart, Brent Spiner, Jonathan Frakes, LeVar Burton"
