,Unnamed: 0,Title,Genre,Network,Summary,Year,Rating,Metascore,Votes,Runtime,Actors
20,20,Legal High,"['Legal', 'Comedy']",jTBC,"This drama is remake of 2012 Fuji TV drama series <a href=""https://en.wikipedia.org/wiki/Legal_High_(Japanese_TV_series)"" rel=""noopener noreferrer"" target=""_blank""><em>Ì¢‰âÂÒLegal HighÌ¢‰âÂå</em></a> which is starring by Masato Sakai and Yui Aragaki.</p><p>ItÌ¢‰âÂ‰ã¢s about a caustic, money-loving lawyer who will do anything to win, and a passionate rookie lawyer with a strong sense of justice.</p><p>Go Tae Rim (<a href=""https://star.koreandrama.org/jin-goo/"" rel=""noopener noreferrer"" target=""_blank"">Jin Goo</a>) is a lawyer. He is arrogant and makes biting remarks, but he has a 100% winning rate. He canÌ¢‰âÂ‰ã¢t even imagine ever losing a case and winning cases is the most important thing to him. His attorneyÌ¢‰âÂ‰ã¢s fee is obscenely high. Meanwhile, Seo Jae In (<a href=""https://star.koreandrama.org/seo-eun-soo/"" rel=""noopener noreferrer"" target=""_blank"">Seo Eun Soo</a>) is a passionate rookie lawyer. She wants to help clients trapped in unfair situations. However, he realizes that lawyers who do not win cases are useless and she then decides to work with Go Tae Rim.",2019,7.5,,31,,"Yoon Bak, Jeong-an Chae, Yoo-sang Jang, Goo Jin"
21,21,Rude Miss Young Ae (Season 17),['Comedy'],tvN,"Now married to Lee Seung Joon (<a href=""https://star.koreandrama.org/?p=30610"" rel=""noopener"" target=""_blank"">Lee Seung Joon</a>), Lee Young Ae (<a href=""https://star.koreandrama.org/kim-hyun-sook/"" rel=""noopener"" target=""_blank"">Kim Hyun Sook</a>) struggles to raise her baby as a working mother.",2007,,,,,"Won Joon Choi, Jung Da Hye, Seo Yeon Im, Hyun-sook Kim"
22,22,Touch Your Heart,"['Romance', 'Comedy', 'Legal']",tvN,"This drama is based on a web novel Ì¢‰âÂÒJinsimi DaddaÌ¢‰âÂå by <em>Ì¢‰âÂÒÌÂèÏè Ì»å±å¡ / YegeoÌ¢‰âÂå</em>, which was published from 2016-Dec-23 to 2017-Oct-11 via <em>Ì¢‰âÂÒ<a href=""https://page.kakao.com/home?seriesId=49293547&amp;page=1"" rel=""noopener noreferrer"" target=""_blank"">kakaopage</a>Ì¢‰âÂÒ</em>.</p><p>It will be centered around the romance between a successful lawyer, Kwon Jung Rok (<a href=""https://star.koreandrama.org/lee-dong-wook/"" rel=""noopener noreferrer"" target=""_blank"">Lee Dong Wook</a>) and his secretary, Oh Jin Shim / Oh Yoon Seo (<a href=""https://star.koreandrama.org/yoo-in-na/"" rel=""noopener noreferrer"" target=""_blank"">Yoo In Na</a>). The secretary is a disgraced former Hallyu actress, who is actually in disguise after being caught in a tabloid scandal with a third generation chaebol. She desperately wants the lead role in a writerÌ¢‰âÂ‰ã¢s drama for her work as a secretary in disguise.",2019,8,,225,60 min,"Dong-Wook Lee, Sang-woo Lee, So-yeon Jang, Joon-Hyuk Lee"
23,23,Babel,"['Legal', 'Mystery']",CSTV,"This drama is about a prosecutor who started his career as a reporter for a newspaper faces a life-changing event when his father dies in an unexplained accident, and his mother takes her own life. With his life shattered in pieces, he wonÌ¢‰âÂ‰ã¢t stop at anything to uncover what happened and to get revenge.",2019,7.2,,17,,"Hie-jin Jang, Shin-yeong Jang, Park Joo-Hyung, Hae-sook Kim"
24,24,Romance Is a Bonus Book,"['Romance', 'Comedy']",tvN,"This drama is about the love story between two people in their 30Ì¢‰âÂ‰ã¢s, who work in the world of publishing.</p><p>Cha Eun Ho (<a href=""https://star.koreandrama.org/lee-jong-suk/"" rel=""noopener noreferrer"" target=""_blank"">Lee Jong Suk</a>) is a genius writer and the youngest chief editor ever at his publishing company. He is smart and handsome. He is also even tempered at work, but he has a warm heart and a reasonable personality.</p><p>Meanwhile, Kang Dan Yi (<a href=""https://star.koreandrama.org/lee-na-young/"" rel=""noopener noreferrer"" target=""_blank"">Lee Na Young</a>) used to be a popular copywriter, but she is not anymore. She is now broke and unemployed. Even though she tries to find a job, due to her impressive career and excellent educational background, she is unable to find a new job. Finally, Kang Dan Yi gets a job by lying about her background at a publishing company where Cha Eun Ho work as chief editor. They begin to develop romantic feelings for each other.",2019,8.1,,529,,"Eu-Gene Jeong, Han-chul Jo, Ki-Doong Kang, Tae-woo Kim"
25,25,Kingdom,"['Historical', 'Fantasy', 'Thriller']",Netflix,"This will be NetflixÌ¢‰âÂ‰ã¢s second Korean original series. It is adapted from the webcomic series <em>Ì¢‰âÂÒÌÂ‰Û_åÊÌÂåèÏ ÌÇ‰Û_èÏÌÇåå_ / Land of the GodsÌ¢‰âÂå</em>, which was authored Writer Kim Eun Hee, her first venture into the webcomic industry, and drawn by Yang Kyung Il which was first published on 2015-July-23 by RHK. ItÌ¢‰âÂ‰ã¢s planned for three seasons.</p><p>Set in KoreaÌ¢‰âÂ‰ã¢s medieval Joseon period, it tells the story of a crown prince Lee Chang (<a href=""https://star.koreandrama.org/joo-ji-hoon/"" rel=""noopener"" target=""_blank"">Joo Ji Hoon</a>) who is sent on a suicide mission to investigate a mysterious plague thatÌ¢‰âÂ‰ã¢s spreading across his country. The truth threatens the kingdom, when he discovers that it is an atrocious epidemic in the form of zombies.",2019,8.3,,9308,45 min,"Doona Bae, Greg Chun, Jun-ho Heo, Ji-Hoon Ju"
26,26,Spring Turns to Spring,"['Fantasy', 'Comedy']",MBC,"This drama is about the story of two women whose souls switch bodies, giving them chance to live out their dreams and gain new experiences.</p><p>Kim Bo Mi (<a href=""https://star.koreandrama.org/lee-yoo-ri/"" rel=""noopener noreferrer"" target=""_blank"">Lee Yoo Ri</a>) works as a TV news anchorwoman and she only cares about herself. Meanwhile, Lee Bom (<a href=""https://star.koreandrama.org/uhm-ji-won/"" rel=""noopener noreferrer"" target=""_blank"">Uhm Ji Won</a>) was once a popular actress, but she is now a lawmakerÌ¢‰âÂ‰ã¢s wife. She focuses only on taking care of her family. Somehow these two women switch bodies.",,,,,,
27,27,Blessing of the Sea,['Melodrama'],MBC,"This drama is the modern version of the story of Shim Chung Yi (<a href=""https://star.koreandrama.org/lee-so-yeon/"" rel=""noopener"" target=""_blank"">Lee So Yun</a>), a woman who sees the world in various colors and she meets Ma Poong Do (<a href=""https://star.koreandrama.org/jae-hee/"" rel=""noopener"" target=""_blank"">Jae Hee</a>), a pianist who sees the world only in black and white and finds out the secret to her lost father.",2019,,,,,"Nae-sang Ahn, Bo-ra Geum, Eun-Jin Ha, Hee Jae"
28,28,"WhatÌ¢‰âÂ‰ã¢s Wrong, Poong Sang","['Family', 'Comedy']",KBS2,,2019,7.1,,13,,"Lee Chang-Yeop, Hye-bin Jeon, Bo-Hee Lee, Si-young Lee"
29,29,Neighborhood Lawyer Jo Deul Ho (Season 2): Crime and Punishment,"['Legal', 'Comedy']",KBS2,"This drama is based on the original webtoon <em>Ì¢‰âÂÒDongnebyunhosa Jodeulho / ÌÇå‰ã¢ÌÇ‰Û_å_ÌÇå_‰âÂÌ_èÏåüÌÂ‰Û_åÂ ÌÂåÁå¡ÌÇ‰ÛÏå_Ì_èÏåüÌ¢‰âÂå</em> by Hatchling (Ì_‰Û¢å«ÌÂåüå¬ÌÇå¤å) which was first published on 2013-March-03 via Ì¢‰âÂÒ<em><a href=""http://comic.naver.com/webtoon/list.nhn?titleId=546625"" rel=""noopener noreferrer"" target=""_blank"">comic.naver.com/webtoon</a></em>Ì¢‰âÂÒ.</p><p>The story of Jo Deul ho (<a href=""http://star.koreandrama.org/park-shin-yang/"" rel=""noopener noreferrer"" target=""_blank"">Park Shin Yang</a>) continues, about a once prosecutor turned lawyer who is currently unemployed. After a legal battle, his license is revoked for a short time, and he leaves the law for some peace of mind. Unbeknownst to him, he will not be left in peace.",,,,,,
