,Unnamed: 0,Title,Genre,Network,Summary
37,37,Bad Detective,"['Psychological', 'Crime']",MBC,this drama is remake of the bbc tv series â€œlutherâ€woo tae suk shin ha kyun is an experienced and wellestablished detective with a long professional career but in spite of everything he is a lonely and bitter human being it all has to do with him only focusing on solving cases while his actions are completely controversial because it crosses the line between good and evil woo tae suk crosses paths with a female psychopath eun sun jae lee seol but he cannot arrest her because of lack of evidence the woman eventually decides to help woo tae suk solve other cases
38,38,The Sound of Your Heart: Reboot (Season 2),"['Comedy', 'Sitcom']",Netflix,a sitcom with cheeky imagination unexpected turn of events and raucous laughter
39,39,"Coffee, Please","['Romance', 'Fantasy']",Channel A,this drama is about a pretty overweight woman who after sipping on a cup of magic coffee becomes a beauty and a handsome man who doesnâ€™t believe in loveim hyun woo yong joon hyung is a webtoon writer he is popular and handsome but he is not nice to people and also does not believe in love his trainee is lee seul bi kim min young she is cute and chubby seul bi has had a crush on hyun woo for a long time yet she has never told hyun woo about her feelings one day seul bi drinks coffee and she suddenly finds herself changed into a beautiful woman she names herself oh go woon chae seo jin
40,40,Fates and Furies,['Romance'],SBS,this drama is about a woman who decides to approach a man by telling him all sort of lies the man falls for the lies told by the woman and ends up falling madly in love with her although the woman wants to tell the truth she can not do it because if she does she will lose the man she loveseven though goo hae ra lee min jung is smart and beautiful she is in miserable situation because of her family her older sister attempted suicide and her father passed away the only way she can escape her situation is with money she then approaches tae in joon joo sang wook he is the second son of a shoe company ownerâ€¦
41,41,Memories of the Alhambra,"['Fantasy', 'Romance', 'Mystery', 'Action']",tvN,this drama begin the overseas filming in spain in late 2018may locations including granada barcelona terrassa and girona additional filming in budapest hungary and slovenia in 2018augustafter suffering a setback following his friendâ€™s betrayal yoo jin woo hyun bin travels to spain for a business trip there he stays at a hostel owned by a former guitarist named jung hee joo park shin hye and both get entangled in a mysterious incident
42,42,Drama Stage (Season 2),['NaN'],tvN,nan
43,43,Encounter,"['Melodrama', 'Romance']",tvN,this drama is about a man and a woman are brought together by fate the woman who seems to have it all and the man who doesnâ€™t have anything meet and they must decide which is harder to do to give up wealth and authority or to give up an ordinary lifecha soo hyun song hye gyo is the daughter of a politician after she graduated from college she married the son from a family who runs a large company her marriage was a marriage of convenience for her politician father after having a child cha soo hyun was compelled to get a divorce she is now a divorcee meanwhile kim jin hyuk park bo geum is an ordinary young man he tries to find a regular job and works parttime jobs in the meantime he keeps failing in landing a regular job at companies where he wants to work he decides to go on a trip overseas there he meets cha soo hyun
44,44,Praise of Death,"['Romance', 'Historical', 'Music']",SBS,the short drama is a remake of the awardwinning 1991 film â€œdeath songâ€ which based on the true story of kim woo jin and yoon shim dukitâ€™s tells the tragic love story of kim woo jin lee jong suk a married stage drama writer and yoon shim duk shin hye sun koreaâ€™s first professional soprano who meet while studying at tokyo university in the 1920s yun shim dukâ€™s recording of â€œdeath songâ€ became the first korean pop song in 1926
45,45,Gangnam Scandal,['Melodrama'],SBS,this drama tells the story of a poor woman living a dream of cinderellaeun so yoo shin go eun works as a stylist she struggles to make enough money to pay for her motherâ€™s operation fee due to a case eun so yoo gets involved with choi seo joon im yoon ho he is rich and from a chaebol family eun so yoo pretends to love him for his money but she falls truly in love with him choi seo joon has an in incurable disease he is more interested in playing around than working and he doesnâ€™t believe in true love
46,46,Clean With Passion For Now,"['Comedy', 'Romance']",jTBC,this drama is based on same title webcomic by â€œì•µê³  aengoâ€ which was first published from 2015aug24 via comicokrjang sun kyul yoon kyun sang sufferes from mysophobia fear of germs and operates a cleaning company he meets gil oh sol kim yoo jung who has a bright personality but does not mind getting dirty with the help of oh sol sun kyul faces his fears and falls in love with her meanwhile choi koon song jae rim is a mysterious man who lives on the rooftop of oh solâ€™s house and is known for being a free spirit
47,47,A Promise with the Gods,"['Melodrama', 'Family']",MBC,this drama is about how two married couples will do whatever it takes to save their children thatâ€™s without taking into account that theyâ€™ll leave ethics and morals to one side in order to do itseo ji young han chae young is an anchorwoman and talk show host who is also fiercely devoted to her children meanwhile kim jae wook bae soo bin is the heir to a large architecture firm who is willing to lay everything on the line and stand up against his family in order to protect his children
