,Title,Genre,Network,Summary
224,School 2017,"['School', 'Youth', 'Mystery']",KBS2,"A coming-of-age story about the lives of 18-year-old high school students who are valued according to their ranking in school. Despite their frustrations, they find out how to make their own way in this world that seems to be a stagnant cycle of school and home."
225,The King Loves,"['Historical', 'Romance', 'Melodrama']",MBC,"This is a 100% Pre-produced drama. Filming began on 2016-November and finished on 2017-June-15. Itâ€™s based on the novel of the same title by Kim Yi Ryung which was first published on 2011-Aug-19 by Paranmedia.</p><p>Wang Won (<a href=""http://star.koreandrama.org/si-wan/"" target=""_blank"">Im Shi Wan</a>) is the Crown Prince during the Goryeo Dynasty who harbors an extreme lust for power. His childhood friend, Wang Rin (<a href=""http://star.koreandrama.org/hong-jong-hyun/"" target=""_blank"">Hong Jong Hyun</a>), is his trusted ally and bodyguard. When they meet Eun San (<a href=""http://star.koreandrama.org/im-yoon-ah/"" target=""_blank"">Im Yoon Ah</a>), the beautiful daughter of the wealthiest man in the country, they become inseparable friends. But when both Won and Rin fall in love with Eun San, what will happen to their ambitions and friendship?"
226,Bride of the Water God 2017,"['Fantasy', 'Romance', 'Comedy']",tvN,
227,Woman of Dignity,['Melodrama'],jTBC,"This is a pre-produced drama. Filming began 2016-Aug and finished on 2017-Feb.</p><p>Woo Ah Jin (<a href=""http://star.koreandrama.org/kim-hee-sun/"" target=""_blank"">Kim Hee Sun</a>) lives a luxurious life due to her wealthy father-in-law, but her father-in-lawâ€™s finances become decimated and her husband betrays her. Woo Ah Jinâ€™s life hits rock bottom. Meanwhile, Park Bok Ja (<a href=""http://star.koreandrama.org/kim-sun-ah/"" target=""_blank"">Kim Sun Ah</a>) is a mysterious woman and she hides her heartbreaking story. She brings about fierce hardship on Woo Ah Jin."
228,Sweet Enemy,['Melodrama'],SBS,"When Oh Dal Nim (<a href=""http://star.koreandrama.org/park-eun-hye/"" target=""_blank"">Park Eun Hye</a>) is falsely accused of murder, she decides to take revenge on those responsible for her misery."
229,Secret Forest,"['Thriller', 'Mystery', 'Legal']",tvN,"This drama is a pre-produced drama. Itâ€™s about a chase thriller where a prosecutor who has lost his emotions explores the secrets inside the prosecution office and chases the real criminals along with a righteous police officer.</p><p>Though he is rational, a childhood brain surgery leaves prosecutor Hwang Shi Mok (<a href=""http://star.koreandrama.org/cho-seung-woo/"" target=""_blank"">Cho Seung Woo</a>) to lack emotion. Cold and lonely, heâ€™s one of the only prosecutors not involved in corruption. When he meets Police Lieutenant Han Yeo Jin (<a href=""http://star.koreandrama.org/bae-doo-na/"" target=""_blank"">Bae Doo Na</a>) at a murder crime scene, they join forces to eradicate corruption at the prosecutorâ€™s office and solve a serial murder case."
230,My Only Love Song,"['Fantasy', 'Historical', 'Romance', 'Comedy']",Netflix,"This is a 100% pre-produced drama and Filming began on 2016-Sep-26.</p><p>Sang Soo Jung (<a href=""http://star.koreandrama.org/gong-seung-yun/"" target=""_blank"">Gong Seung Yun</a>) is a conceited pop star who believes that status and money can get you anywhere. She accidentally falls into a time-slip portal and travels to the past, where she meets On Sal (<a href=""http://star.koreandrama.org/lee-jong-hyun/"" target=""_blank"">Lee Jong Hyun</a>), a man who loves money and will do anything to earn it. However, he has a soft spot for the weak and helpless, and gives to them with a generous heart."
231,Wednesday 3:30 PM,"['Romance', 'Comedy']",SBS Plus,"This drama tells the story of a woman who was dumped by her boyfriend and tries win to win back his heart by making him jealous. With her close male friend, she manipulates her social media to create a fake â€œlovestagramâ€ (love + Instagram). The two characters are childhood friends, and a sweet romance will unfold as they begin to live together."
232,Unique Daughters-in-Law,"['Family', 'Romance']",MBC,"Hwang Eun Byul (<a href=""http://star.koreandrama.org/ham-eun-jung/"" target=""_blank"">Ham Eun Jung</a>), a ghostwriter for a publishing company, and Hwang Geum Byul (<a href=""http://star.koreandrama.org/lee-joo-yeon/"" target=""_blank"">Lee Joo Yeon</a>), a leader for the PR department at a fashion company, are fraternal twin sisters, but their mother has always favored Geum Byul. The sisters end up marrying into rivaling families, and the story follows them as they try to work through their conflicts with communication and a positive attitude."
233,Duel,"['Detective', 'crime', 'thriller', 'sciencefiction']",OCN,"This thriller drama is about a detective, Jang Deuk Chun (<a href=""http://star.koreandrama.org/jung-jae-young/"" target=""_blank"">Jung Jae Yong</a>) who gets tangled up in a shocking incident after meeting a human clone. They will have to battle each other to survive."
234,The Best Hit,"['Youth', 'Music', 'Romance']",KBS2,"This drama is about the tumultuous lives of contemporary twenty somethings, as they worry and learn how to connect with people, how to love, and how to succeed in this harsh world.</p><p>Lee Ji Hoon (<a href=""http://star.koreandrama.org/kim-min-jae-1996/"" target=""_blank"">Kim Min Jae</a>) and Choi Woo Seung (<a href=""http://star.koreandrama.org/lee-se-young-1992/"" target=""_blank"">Lee Se Young</a>) are two childhood friends who also happen to be preparatory students for the civil service exam, although Ji Hoon has a secret dream to be a singer and songwriter. One day they meet a popular but problematic idol Yoo Hyun Jae (<a href=""http://star.koreandrama.org/yoon-si-yoon/"" target=""_blank"">Yoon Si Yoon</a>), and thus begin the story of passion, love, and friendship among 20s youth in the entertainment industry."
235,Seven Day Queen,"['Historical', 'Romance']",KBS2,"This drama is about the tragic love story between real life King Jungjong (<a href=""http://star.koreandrama.org/yun-woo-jin/"" target=""_blank"">Yun Woo Jin</a>) and his wife Queen Dangyeong (<a href=""http://star.koreandrama.org/park-min-young/"" target=""_blank"">Park Min Young</a>), who was crowned and deposed from the throne within seven days."
236,My Sassy Girl,"['Historical', 'Romance', 'Comedy']",SBS,"This is a 100% Pre-produced drama. Filming began on 2016-August and finished on 2017-March. Itâ€™s based on the 2001 movie â€œ<a href=""https://en.wikipedia.org/wiki/My_Sassy_Girl"" target=""_blank"">My Sassy Girl</a>â€ but set in a historical time period.</p><p>Itâ€™s about Love story of a cold city scholar Kyun Woo (<a href=""http://star.koreandrama.org/joo-won/"" target=""_blank"">Joo Won</a>) whoâ€™s known as <em>â€œJoseonâ€™s national treasureâ€</em> and the sassy princess Hye Myung (<a href=""http://star.koreandrama.org/oh-yeon-seo/"" target=""_blank"">Oh Yeon Seo</a>) in a Joseon Dynasty era."
237,Lovers in Bloom,"['Family', 'Romance']",,"This drama is set at a small police station. A single mother struggles to raise her daughter while working as a police. A rivalry then formed between her and a valedictorian policeman who dedicates himself fully to his job.</p><p>Moo Goong Hwa (<a href=""http://star.koreandrama.org/im-soo-hyang/"" target=""_blank"">Im Soo Hyang</a>) is a former boxer. After the death of her husband, she has raised her daughter alone. She now works as a police officer. Meanwhile, Cha Tae Jin (<a href=""http://star.koreandrama.org/do-ji-han/"" target=""_blank"">Do Ji Han</a>) is an elite police officer who graduated from the police university. He is full of justice."
238,Lookout,"['Action', 'Crime']",MBC,This drama tells the Story about a group of people who get together to overcome their pain of having lost their loved ones to crime.
239,Circle,"['Sci-fi', 'Mystery']",tvN,"Set in the present (2017) and the future (2037), the story is about an alien invasion in 2017 and the subsequent new Earth in 2037; which is separated into the â€œSmart Earthâ€ where peopleâ€™s emotions are controlled and no crimes and illness exist, and the â€œGeneral Earthâ€ where people still suffer from rampant plague and lawlessness."
240,Third-Rate My Way,"['Melodrama', 'Romance']",KBS2,"A romance drama about two people who chase their dreams in life, despite facing harsh reality which brings them down.</p><p>In their school days, Ko Dong Man (<a href=""http://star.koreandrama.org/park-seo-joon/"" target=""_blank"">Park Seo Joon</a>) took part in Taekwondo. Now, he makes a living by working as a contract employee and also goes after the UFC title. Meanwhile, Choi Ae Ra (<a href=""http://star.koreandrama.org/kim-ji-won/"" target=""_blank"">Kim Ji Won</a>) hope to become an announcer, but she gave up her dream. Now, she works at the information desk of a department store."
241,Return of Lucky Pot,"['Family', 'Romance', 'Melodrama']",MBC,"This is a drama about a woman who is poor but proud, meeting a prince who has hit the ground and realizes the true meaning of love and family.</p><p>Bok Dan Ji (<a href=""http://star.koreandrama.org/kang-sung-yun/"" target=""_blank"">Kang Sung Yun</a>) supports her family as a bus driver for a private institute. She meets Han Jung Ok (<a href=""http://star.koreandrama.org/go-se-won/"" target=""_blank"">Go Se Won</a>) who is from a wealthy background and then falls in love with her."
242,"Bad Thief, Good Thief","['Romance', 'Comedy']",MBC,"This is a drama about a group of thieves who cause damage to a small, elite group who secretly manipulates South Korea."
243,Suspicious Partner,"['Romance', 'Comedy', 'Thriller']",SBS,"A forgetful killer can be a dangerous thing. Noh Ji Wook (<a href=""http://star.koreandrama.org/ji-chang-wook/"" target=""_blank"">Ji Chang Wook</a>) is a prosecutor who changes jobs to become a private attorney at a powerful law firm. Meanwhile, Eun Bong Hee (<a href=""http://star.koreandrama.org/nam-ji-hyun/"" target=""_blank"">Nam Ji Hyun</a>) is a prosecutor trainee who works with prosecutor Cha Yoo Jung (<a href=""http://star.koreandrama.org/kwon-na-ra/"" target=""_blank"">Nara</a>), Ji Wookâ€™s ex-girlfriend who desperately wants to win him back. Attorney Ji Eun Hyuk (<a href=""http://star.koreandrama.org/choi-tae-joon/"" target=""_blank"">Choi Tae Joon</a>) is a longtime family friend of Ji Wookâ€™s but harbors some resentment about their different family circumstances.</p><p>When a murderer strikes, Bong Hee suddenly finds herself as a suspect in the murder. But it appears the real killer has amnesia, and the killer keeps coming after Bong Hee and Ji Wook. Can the two team up to catch the forgetful killer?"
244,Ruler: Master of the Mask,"['Historical', 'Political', 'Romance']",MBC,"This is a pre-produced drama. Filming began on 2016-December.</p><p>Set in the 18th-century Joseon, it tells the story of Crown Prince Lee Sun (<a href=""http://star.koreandrama.org/yoo-seung-ho/"" target=""_blank"">Yoo Seung Ho</a>) and his fight against a powerful and wealthy organization Pyunsoo-hwe that controls the country behind the scenes due to its monopoly of the nationâ€™s water supply. With the help of the woman he loves named Han Ga Eun (<a href=""http://star.koreandrama.org/kim-so-hyun/"" target=""_blank"">Kim So Hyun</a>), Lee overcomes adversity and grow as a just ruler."
245,Individualist Ms. Ji Young,"['Romance', 'Comedy']",KBS2,"This is a short drama about an individualist, Ji Young (<a href=""http://star.koreandrama.org/min-hyo-rin/"" target=""_blank"">Min Hyo Rin</a>), who avoids relationships with others, meets Byuk Soo (<a href=""http://star.koreandrama.org/gong-myung/"" target=""_blank"">Gong Myung</a>), who canâ€™t live without having relationships."
246,Teacher Oh Soon Nam,"['Melodrama', 'Romance']",MBC,A female school teacher and a daughter-in-law to the eldest son of a family loses everything in one day and try to make her daughterâ€™s dream come true.
247,Nameless Woman,"['Family', 'Melodrama']",KBS2,"The story of two mothers whose motherly love is stronger than any ordinary woman.</p><p>Hong Ji Won (<a href=""http://star.koreandrama.org/bae-jung-ok/"" target=""_blank"">Bae Jong Ok</a>) grew up at an orphanage. To escape from her poor background, she studied hard and graduated from a prestigious university. She then worked as a secretary at a large company. Finally, she married the owner of the company and gave birth to a son. Now, she learns that her son has a disease. She decides that she will do anything for her son.</p><p>Meanwhile, Son Yeo Ri (<a href=""http://star.koreandrama.org/oh-ji-eun/"" target=""_blank"">Oh Ji Eun</a>) was raised by wealthy foster parents, but she is abandoned by foster parents and her boyfriend. To protect her child, She goes to prison."
248,Irish Uppercut,['Romance'],NAVER tvcast,"â€œIrish Uppercutâ€ will show off the refreshing chemistry between the two leads with a gorgeous Jeju Island backdrop. In the movie, Bora will be playing an adorable grim reaper by the name of Do Hae Na. Do Hae Na has nothing going for her in this world, but when she passes away she meets a cook named Woo Shi Hyung, played by Kim Ji Suk, in the afterlife and they experience many episodes together in a pub called â€œIrish Uppercut.â€"
249,Man to Man,"['Action', 'Thriller', 'Romance']",jTBC,"This is a 100% pre-produced drama. Filming began on 2016-Oct-17 and finished on 2017-March-06. Itâ€™s was specially aired on <a href=""https://en.wikipedia.org/wiki/JTBC"" target=""_blank"">jTBC</a> for the broadcast channelâ€™s 5th year anniversary.</p><p>a longtime celebrity Yeo Woon Kwang (<a href=""http://star.koreandrama.org/park-sung-woong/"" target=""_blank"">Park Sung Woong</a>) suddenly has a need for a bodyguard and hires Kim Sul Woo (<a href=""http://star.koreandrama.org/park-hae-jin/"" target=""_blank"">Park Hae Jin</a>), a man trained in special investigations. Heâ€™s described as a mysterious man of many talents, and the drama is about the twisty events they encounter and the budding bromance between the star and bodyguard."
250,My Secret Romance,"['Romance', 'Comedy']",OCN,"This is a pre-produced drama. Filming began 2016-Nov-13 and finished on 2017-Jan-09.</p><p>Cha Jin Wook (<a href=""http://star.koreandrama.org/sung-hoon/"" target=""_blank"">Sung Hoon</a>) is a son from a wealthy family. His family runs a large company. Cha Jin Wook only pursues short term love. He then meets Lee Yoo Mi (<a href=""http://star.koreandrama.org/song-ji-eun-1990/"" target=""_blank"">Song Ji Eun</a>) and changes. Lee Yoo Mi has never had a boyfriend before."
251,Unni is Alive,"['Melodrama', 'Romance']",SBS,"A drama about the love, friendship and success of three women who lost the people they love at the same time and place.</p><p>Kang Ha Ri (<a href=""http://star.koreandrama.org/kim-joo-hyun/"" target=""_blank"">Kim Joo Hyun</a>) is a part-time stationary store worker. Min Deul Re (<a href=""http://star.koreandrama.org/jang-seo-hee/"" target=""_blank"">Jang Seo Hee</a>) was a popular actress, but she isnâ€™t so popular these days. Kim Eun Hyang (<a href=""http://star.koreandrama.org/oh-yoon-ah/"" target=""_blank"">Oh Yoon Ah</a>) use to be a secretary but now she focuses on raising her daughter. These three women lose their most loved ones around the same time. Even though they are not related, they rely on each other to get through the tough times."
252,Chicago Typewriter,"['Fantasy', 'Romance', 'Comedy']",tvN,"This drama is about three writers who lived in the <a href=""https://en.wikipedia.org/wiki/Korea_under_Japanese_rule"" target=""_blank"">1930â€™s Japanese occupation of Korea</a>, and are reincarnated into the present as a best-selling writer in a slump, an anti-fan, and a ghostwriter."
253,Mystery Queen,"['Mystery', 'Comedy']",KBS2,"This drama tells the story of a prosecutorâ€™s wife whoâ€™s always dreamed of being a detective. After actually solving a case, she ends up in an unlikely crime-fighting duo with a young police captain.</p><p>Yoo Seol Ok (<a href=""http://star.koreandrama.org/choi-kang-hee/"" rel=""noopener noreferrer"" target=""_blank"">Choi Kang Hee</a>) like mystery novels and dream to become a detective, but she gave up her dream after marrying and become a housewife with a husband who works as a prosecutor. She then meets Ha Wan Seung (<a href=""http://star.koreandrama.org/kwon-sang-woo/"" rel=""noopener noreferrer"" target=""_blank"">Kwon Sang Woo</a>) who is a passionate detective and they decide to collaborate to solve a case."
254,The Boy Next Door,['Comedy'],NAVER tvcast,"Based on Webtoon <a href=""http://comic.naver.com/webtoon/list.nhn?titleId=654331"" target=""_blank"">ì¸ë‚¨ /Some Guy</a> by Bae Chul Wan (ë°°ì² ì™„).</p><p>Neighbors Kyu Tae (<a href=""http://star.koreandrama.org/choi-woo-sik/"" target=""_blank"">Choi Woo Shik</a>) and Ki Je (<a href=""http://star.koreandrama.org/jang-ki-yong-1992/"" target=""_blank"">Jang Ki Yong</a>) canâ€™t seem to escape one another â€“ they discover they have a mutual acquaintance in Min Ah (<a href=""http://star.koreandrama.org/jang-hee-ryung/"" target=""_blank"">Jang Hee Ryung</a>), and they even end up living together."
255,Whisper,"['Legal', 'Political', 'Romance']",SBS,"Shin Young Joo (<a href=""http://star.koreandrama.org/lee-bo-young/"" target=""_blank"">Lee Bo Young</a>) is a female detective, a section chief with charisma, although she spends most of her time with petty criminals. She has to pay the debt of her family and speaks often harshly, but inside she has a golden heart. Meanwhile, Lee Dong Joon (<a href=""http://star.koreandrama.org/lee-sang-yoon/"" target=""_blank"">Lee Sang Yoon</a>) is a righteous elite judge, brilliant in mind, but with a warm heart and he has always a friendly ear for those, who are weak. Both work together to solve a case of corruption, involving the greatest law firm of the nation, Taebak, which turns out to be one of the biggest scandals ever."
256,Tunnel,"['Detective', 'Crime', 'Thriller', 'Fantasy']",OCN,"In 1986, Detective Park Kwang Ho (<a href=""http://star.koreandrama.org/choi-jin-hyuk/"" target=""_blank"">Choi Jin Hyuk</a>) desperately tries to catch a serial killer. He chases after the serial killer and goes through a tunnel. On the other side of the tunnel, Detective Park Kwang Ho finds himself in the year 2017. The serial killer has resumed the killings that began 30 years ago. Detective Park Kwang-Ho works with Detective Kim Sun Jae (<a href=""http://star.koreandrama.org/yoon-hyun-min/"" target=""_blank"">Yoon Hyun Min</a>) and Professor of Criminal Psychology Shin Jae Yi (<a href=""http://star.koreandrama.org/lee-yoo-young/"" target=""_blank"">Lee Yoo Young</a>) to catch the killer."
257,The Liar and His Lover,"['Romance', 'Comedy']",tvN,"This drama is based on a Japanese manga <a href=""http://en.wikipedia.org/wiki/Kanojo_wa_Uso_o_Aishisugiteru"" target=""_blank""><em>â€œã‚«ãƒŽã‚¸ãƒ§ã¯ã†ãã‚’ã‚ã„ã—ã™ãŽã¦ã‚‹â€</em></a> by <a href=""https://en.wikipedia.org/wiki/Kotomi_Aoki"" target=""_blank"">Aoki Kotomi</a> which was first published on 2009-May by <a href=""https://en.wikipedia.org/wiki/Cheese!"" target=""_blank"">Cheese! magazine</a>.</p><p>Kang Han Kyul (<a href=""http://star.koreandrama.org/lee-hyun-woo-1993/"" target=""_blank"">Lee Hyun Woo</a>) is a great composer and gets inspired by the voice of others. He hides his identity from other people. Kang Han Kyul then meets Yoon So Rim (<a href=""http://star.koreandrama.org/joy"" target=""_blank"">Joy</a>). She is a female high school student with a great voice and she falls in love with him."
258,Radiant Office,"['Office', 'Romance', 'Comedy']",MBC,"Eun Ho Won (<a href=""http://star.koreandrama.org/go-ah-sung/"" target=""_blank"">Go Ah Sung</a>) faces repeat rejections in her job search until despair drives her to attempt suicide. At the hospital, she learns she might be terminally-ill, but then at the same time, she also finally succeeds in getting hired. Thinking she has nothing to lose, she tackles her job and life with new perspectives. Seo Woo Jin (<a href=""http://star.koreandrama.org/ha-suk-jin/"" target=""_blank"">Ha Suk Jin</a>) is her superior at work and considers her a pain in the neck. They become a bickering pair."
259,Queen of the Ring,"['Fantasy', 'Romance']",MBC &amp; NAVER tvcast,"This is a 100% pre-produced drama and a co-production between <a href=""https://www.koreandrama.org/?tag=naver-tvcast"" target=""_blank"">NAVER tvcast</a> and iMBC.</p><p>Mo Nan Hee (<a href=""http://star.koreandrama.org/kim-seul-gi/"" target=""_blank"">Kim Seul Gi</a>) is ugly and this has influenced her to become mean. She doesnâ€™t in live. One day, she receives a ring which holds a family secret. Meanwhile, Park Se Gun (<a href=""http://star.koreandrama.org/ahn-hyo-sup/"" target=""_blank"">Ahn Hyo Seop</a>) is handsome, but he has a cold-blooded personality. Due to the magic of the ring, he declares Nan Hee as his ideal woman with a beautiful appearance."
260,You Are Too Much,"['Family', 'Romance']",MBC,"A drama about a star singer and an imitation singer whose name is ridiculous; their love, hatred and compassion intertwine.</p><p>Yoo Ji Na (<a href=""http://star.koreandrama.org/uhm-jung-hwa/"" target=""_blank"">Uhm Jung Hwa</a>) has been a popular singer for the past 20 years, but she holds pain inside because of something she abandoned when she was younger. Meanwhile, Jung Hae Dang (<a href=""http://star.koreandrama.org/koo-hye-sun/"" target=""_blank"">Koo Hye Sun</a> / <a href=""http://star.koreandrama.org/jang-hee-jin/"" target=""_blank"">Jang Hee Jin</a>) began working as a Yoo Ji Na impersonator to support her family after her father lost his job. She sings on stage at a club and tries hard to mimic Yoo Ji Naâ€™s songs."
261,Father is Strange,"['Family', 'Comedy']",KBS2,"This drama is about a family that lives on the outskirts of Seoul. Byun Han Soo (<a href=""http://star.koreandrama.org/kim-young-chul/"" target=""_blank"">Kim Young Chul</a>) is the father and His wife, Na Young Sil (<a href=""http://star.koreandrama.org/kim-hae-sook/"" target=""_blank"">Kim Hae Sook</a>) is a dedicated, responsible mother to his three daughters and one son including Hye Young (<a href=""http://star.koreandrama.org/lee-yoo-ri/"" target=""_blank"">Lee Yoo Ri</a>), Mi Young (<a href=""http://star.koreandrama.org/jung-so-min/"" target=""_blank"">Jung So Min</a>), Ra Young (<a href=""http://star.koreandrama.org/ryu-hwa-young/"" target=""_blank"">Ryu Hwa Young</a>) and Joon Young (<a href=""http://star.koreandrama.org/min-jin-woong/"" target=""_blank"">Min Jin Woong</a>).</p><p>Suddenly one day, Ahn Joong Hee (<a href=""http://star.koreandrama.org/lee-joon-1988/"" target=""_blank"">Lee Joon</a>) shows up at the household, and declares that he is the son of the family. Joong Hee  is an actor who used to be a member of an idol group. He begins to live with themâ€¦"
262,Perfect Wife,"['Melodrama', 'Romance']",KBS2,"This drama is about a a middle-aged Ajumma who will do anything for her children.</p><p>Shim Jae Bok (<a href=""http://star.koreandrama.org/go-so-young/"" target=""_blank"">Go So Young</a>) rediscovers herself and her inner feminine strength in the face of hardship. Sheâ€™s the type of person who cannot ignore injustice and is revolted by condescending pretension. Despite hating false flattery to her core, she grits her teeth and bows her head to the people who think they are her social superiors because she wants the best future for her family. After living so long as a wife and mother to her two children, Shim Jae Bok has neglected herself to the point where sheâ€™s almost lost her sense of self. When she becomes involved in an unforeseeable incident, she learns to regain her identity and fall in love again."
263,TV Novel â€“ Sea of the Woman,"['Period', 'Family']",KBS2,
264,Trace of the Hand,"['Romance', 'Comedy']",,"This drama is based on webtoon of the same name. It is a three-season series, Season 1( Traces of the Hand), Season 2 (Girlâ€™s War) and Season 3 (Fortunetellerâ€™s Secret Recipe).</p><p>Is there an app to help you get the woman you love?</p><p>Kim Hong Sik (<a href=""http://star.koreandrama.org/shin-jae-ha/"" target=""_blank"">Shin Jae Ha</a>) is a shy young man who returns to college after serving his mandatory military service. He discovers an app called T-Scope that helps him to see other peopleâ€™s secret messages. Can he use it to help him capture the heart of the â€œQueen of the Engineering Collegeâ€ (<a href=""http://star.koreandrama.org/ryu-hwa-young/"" target=""_blank"">Ryu Hwa Young</a>), whom he has secretly loved for years?"
265,Strong Woman Do Bong Soon,"['Fantasy', 'Romance', 'Comedy', 'Action']",jTBC,"This drama tells the story about Do Bong Soon (<a href=""http://star.koreandrama.org/park-bo-young/"" target=""_blank"">Park Bo Young</a>) who is a woman born with Herculean strength, anything she touches with too much force crumbles in her hands. Ahn Min Hyuk (<a href=""http://star.koreandrama.org/park-hyung-sik/"" target=""_blank"">Park Hyung Sik</a>) is her love interest and he is an extraordinary second-generation chaebol with crazy tendencies. Meanwhile, In Gook Doo (<a href=""http://star.koreandrama.org/ji-soo/"" target=""_blank"">Ji Soo</a>) is the guy whoâ€™s harbored a one-sided crush on the heroine."
266,Strong Family 2017,['Sitcom'],SBS,"This drama is about a 44-year-old man, Na Chun Il (<a href=""http://star.koreandrama.org/park-hyuk-kwon/"" target=""_blank"">Park Hyuk Kwon</a>) who is head of department in a large corporation. At the same time it must fulfill various life roles: husband, father, the eldest son, boss, subordinate. Maeng Ra Yeon (<a href=""http://star.koreandrama.org/park-sun-young/"" target=""_blank"">Park Sun Young</a>) is his wife and they have a daughter Na Ik Hee (<a href=""http://star.koreandrama.org/kim-ji-min-2000/"" target=""_blank"">Kim Ji Min</a>)."
267,Romance Full of Life,"['Fantasy', 'Romance']",MBC &amp; NAVER tvcast,"This is a 100% pre-produced drama and a co-production between <a href=""https://www.koreandrama.org/?tag=naver-tvcast"" target=""_blank"">NAVER tvcast</a> and iMBC.</p><p>So In Sung (<a href=""http://star.koreandrama.org/yoon-si-yoon/"" target=""_blank"">Yoon Shi Yoon</a>) has prepared for the examination to become a police officer for 4 years. He has failed the exam 8 times, but he still has a positive personality. He then applies for the high pay part-time job which is titled <em>â€œExperiment Full of Lifeâ€</em>."
268,Ice Binggoo,"['Romance', 'Fantasy']",MBC,"How much can the world change in 37 years?</p><p>Go Man Soo (<a href=""http://star.koreandrama.org/kim-jung-hyun-1990/"" target=""_blank"">Kim Jung Hyun</a>) is a man living in 1979 Korea during a simpler time before the 1988 Olympics brought modernization to much of the country. His simple life literally comes to a crashing halt when he is accidentally frozen in an ice mound.</p><p>When he is discovered 37 years later in 2016, his body has been preserved by the ice exactly as he was in 1979. But the world around him has changed dramatically. When Man Soo meets Jang Ha Da (<a href=""http://star.koreandrama.org/han-sun-hwa/"" target=""_blank"">Han Sun Hwa</a>), a bank teller, he is taken aback because she looks exactly like the woman he was in love with back in 1979. Can Man Soo navigate his new world in modern times?"
269,Tomorrow With You,"['Fantasy', 'Romance', 'Time-travel']",tvN,"This is a 100% pre-produced drama. Filming began on 2016-Sep-05 and will be finished on 2017-Jan.</p><p>This drama is about a romance story between a time traveler and his wife. Yoo So Joon (<a href=""http://star.koreandrama.org/lee-je-hoon/"" target=""_blank"">Lee Je Hoon</a>) is a CEO of a real estate company, who has the ability to travel through time via a subway. Song Ma Rin (<a href=""http://star.koreandrama.org/shin-min-ah/"" target=""_blank"">Shin Min Ah</a>) is her wife and works as a photographer. So Joon foresees his future-self living miserably so he decides to marry Ma Rin in order to avoid that fate. As time passes, he learns to love her selflessly."
270,109 Unusual Things Have Happened,"['Romance', 'Scifi', 'Fantasy']",NAVER tvcast,"KDI-109 (<a href=""http://star.koreandrama.org/choi-tae-joon/"" target=""_blank"">Choi Tae Joon</a>), a male robot from the future, comes to live with Shin Ki Won (<a href=""http://star.koreandrama.org/chaeyeon/"" target=""_blank"">Jung Chae Yun</a>)â€™s family. She is a girl who is studying in the philosophy department."
271,Rebel: Thief Who Stole the People,"['Historical', 'Melodrama']",MBC,"Set during the reign of famous tyrant King Yeonsangun, it tells the story of Hong Gil Dong (<a href=""http://star.koreandrama.org/yoon-kyun-sang/"" target=""_blank"">Yoon Kyun Sang</a>), the illegitimate son of a nobleman who stole from the rich and gave to the poor, and his journey in becoming Joseonâ€™s first revolutionary activist."
272,The Universeâ€™s Star,"['Fantasy', 'Romance']",MBC &amp; NAVER tvcast,
273,"Saimdang, Lightâ€™s Diary","['Historical', 'Romance', 'Fantasy']",SBS,
274,Chief Kim,"['Comedy', 'Office']",KBS2,"Can corporate politics turn a bad person into a good person? Kim Sung Ryong (<a href=""http://star.koreandrama.org/nam-goong-min/"" target=""_blank"">Nam Goong Min</a>) is a skilled accountant who works for gangsters. He makes his way into a company called TQ Group as a middle manager in the accounting department with the intention of embezzling money from the company. As he contends with hot-shot accountant Yoon Ha Kyung (<a href=""http://star.koreandrama.org/nam-sang-mi/"" target=""_blank"">Nam Sang Mi</a>), financial prodigy Seo Yool (<a href=""http://star.koreandrama.org/lee-joon-ho/"" target=""_blank"">Lee Joon Ho</a>) and peppy intern Hong Ga Eun (<a href=""http://star.koreandrama.org/jung-hye-sung/"" target=""_blank"">Jung Hye Sung</a>), Sung Ryong finds himself embroiled in office politics and notices other shenanigans by those in power that threaten to bring down the company. Sung Ryong slowly comes to realize that heâ€™d rather fight against corporate corruption and fight for employeesâ€™ rights than complete the mission he originally came to do. Can he succeed at his new objective against all odds?"
275,Defendant,"['Legal', 'Thriller']",SBS,"Park Jung Woo (<a href=""http://star.koreandrama.org/ji-sung/"" target=""_blank"">Ji Sung</a>) is a prosecutor at Seoul Central District Prosecutorsâ€™ Office. One day, he wakes up and finds himself a convict on death row. Suffering from temporary amnesia, Jung-woo has no idea what transpired to land him in prison. He struggles to recover his memory and clear his name."
276,Ruby Ruby Love,"['Romance', 'Comedy', 'Webdrama']",NAVER tvcast,"Ruby (<a href=""http://star.koreandrama.org/seo-joo-hyun/"" target=""_blank"">Seohyun</a>) is a genius whoâ€™s decided to focus her skills on jewelry design and who has an eye for quality jewels. She has a social anxiety disorder, but the discovery of a magic ring will aid her in becoming a successful jewelry designer. Due to her phobia, she doesnâ€™t like going to unfamiliar places and prefers to stay at home. Ruby has one and only friend (<a href=""http://star.koreandrama.org/lee-chul-woo/"" target=""_blank"">Lee Chul Woo</a>) who is a handsome and warmhearted guy. He regrets that his genius friend canâ€™t demonstrate her abilities because of her social anxiety, and heâ€™ll work hard to help her achieve her dreams. Meanwhile, <a href=""http://star.koreandrama.org/lee-yi-kyung/"" target=""_blank"">Lee Yi Kyung</a> is a CEO of a jewelry enterprise and Rubyâ€™s secret crush of a year. Heâ€™ll battle for Rubyâ€™s affections with Lee Chul woo in a love triangle."
