,Actor,Shows
1703,Choi Hong Il,"['Trap', 'Secret Mother', 'Live', 'Judge vs. Judge', 'Bad Thief, Good Thief', 'Suspicious Partner', 'Whisper', 'Wanted', 'Beautiful Gong Shim', 'Mrs. Cop 2', 'D-Day', 'Contract Man', 'The Miracle of Love']"
1704,Choi Hyun,"['You Are Too Much', 'Goodbye Mr. Black', 'Sweet Home, Sweet Honey', 'Tears of Heaven', 'Temptation', 'Marriage Not Dating', 'Empress Ki', 'Glowing She', 'Love Hymn']"
1705,Choi Hyun Woo,"['What’s Wrong With Secretary Kim', 'Laurel Tree Tailors', 'Hotel King', 'Twelve Men in a Year', 'Magic']"
1706,Choi Il Hwa,"['Two Cops', 'Tunnel', 'Saimdang, Light’s Diary', 'Night Light', 'Witch’s Castle', 'Oh My Venus', 'Dr. Frost', 'Save the Family', 'Jingbirok', 'Enchanting Neighbor', 'Temptation', 'A New Leaf', 'Bride of the Century', 'Inspiring Generation', 'Mandate of Heaven', 'Like a Fairytale', 'Cheer Up, Mr. Kim', 'King’s Dream', 'An Angel’s Choice', 'Korean Peninsula', 'Take Care of Us, Captain', 'Deep Rooted Tree', 'Saving Madame Go Bong Shil', 'Birdie Buddy', 'Brain', 'King Gwanggaeto the Great', 'City Hunter', 'Dream High Season 1', 'Dae Mul', 'I’m a Butterfly', 'Freedom Fighter, Lee Hoe Young', 'King of Baking, Kim Tak Goo', 'Cinderella’s Sister', 'Dong Yi', 'The Reputable Family', 'City Hall', 'Belle', 'In-Soon is Pretty', 'Hometown over the Hill', 'The 1st Shop of Coffee Prince', 'H.I.T', 'Lovers', 'Wolf', 'Golden Apple', 'Fashion 70’s']"
1707,Choi Jae Ho,"['Flower of the Queen', 'Shine or Go Crazy', 'Soldier', 'Dong Yi', 'Assorted Gems', 'Queen of Ahyun', 'Shin Don', 'Desert Spring']"
1708,Choi Jae Hwan,"['Chief Kim', 'Neighborhood Lawyer Jo Deul Ho', 'Everything Will Be OK', 'The Girl Who Can See Smells', 'Ho Goo’s Love', 'Secret Door', 'Joseon Gunman', 'Miss Korea', 'Korean Peninsula', 'Warrior Baek Dong Soo', 'Sign', 'Gloria', 'Call of the Country', 'Pasta', 'Cain and Abel', 'Gourmet', 'I’m Sam', 'The Devil', 'Sang Doo, Let’s Go To School']"
1709,Choi Jae Sung,"['Madam Cha Dal Rae’s Love', 'Sunny Again Tomorrow', 'Shall We Live Together', 'Revolutionary Love', 'TV Novel – Dal Soon’s Spring', 'Late Night Restaurant', 'Warm and Cozy', 'TV Novel – Single Minded Dandelion', 'Joseon Gunman', 'Inspiring Generation', 'A Well Grown Daughter, Hana', 'King’s Dream', 'Fermentation Family', 'My Love By My Side', 'Merchant Kim Man Deok', 'Empress Chun Chu', 'Time Between Dog and Wolf', 'Yeon Gae Somun', 'The Immortal Lee Soon-Shin', 'Jang Gil San', '2014 KBS Drama Award']"
1710,Choi Jae Sup,"['Witch’s Love', 'Cross', 'Deserving of the Name', 'Chief Kim', 'Dear My Friends', 'Time of Miracle: Loss Time', 'Greatest Marriage', 'Feast of the Gods', 'Fermentation Family']"
1711,Choi Jae Won,"['Shall We Live Together', 'Switch: Change the World', 'Blue Bird', 'Angel’s Revenge', 'The Women of Our Home', 'Thorn Birds', 'The Tale of Janghwa and Hongryeon', 'Blissful Woman', 'Dr. Kkang']"
1712,Choi Jae Woong,"['Han Yeo Reum’s Memory', 'Argon', 'Secret Forest', 'The Village: Achiara’s Secret', 'Misaeng', 'Reset', 'Nara’s Rain', 'Wang’s Family', 'Ten 2', 'The Great Seer']"
1713,Choi Ji Ho,"['The Great Wives', 'Joseon Gunman', 'Grandpas Over Flowers Investigation Team', 'Inspiring Generation', 'Time Between Dog and Wolf']"
1714,Choi Jin Ho,"['Item', 'Mr. Sunshine', 'Life on Mars', 'Romantic Doctor, Teacher Kim', 'Jackpot', 'Mrs. Cop 2', 'Oh My Venus', 'Assembly', 'Thank You My Son', 'Liar Game', 'You’re All Surrounded', 'The Heirs', 'Incarnation of Money', 'New Heart', 'Time Between Dog and Wolf', 'Land', 'A Jewel in the Palace', 'South Of the Sun']"
1715,Choi Jin Hyuk,"['The Last Empress', 'Devilish Joy', 'Tunnel', 'Pride and Prejudice', 'Fated to Love You', 'Grandpas Over Flowers Investigation Team', 'Emergency Man and Woman', 'The Heirs', 'KangChi, The Beginning', 'Panda and Hedgehog', 'My Daughter The Flower', 'I Need Romance', 'It’s Okay, Daddy’s Girl', 'Pasta', 'Hometown Legends', 'My Precious Child', 'Hometown Legends', 'Belle', 'Just Run!', '2018 SBS Drama Award', '2014 MBC Drama Award']"
1716,Choi Jin Young,['Choi Jin Shi']
1717,Choi Jong Hoon (1979),"['Missing Nine', 'What’s With Money?', 'Late Night Restaurant', 'Unkind Women', 'The Family Is Coming', 'Pinocchio', 'Modern Farmer', 'Golden Tower', 'Answer Me 1994', 'Blue Tower Returns', 'Blue Tower ZERO', 'Blue Tower']"
1718,Choi Jong Hoon (1990),"['My Only Love Song', 'Prince Of Prince']"
1719,Choi Jong Hwan,"['Time', 'The King Loves', 'Bad Thief, Good Thief', 'Saimdang, Light’s Diary', 'Six Flying Dragons', 'Hwajung', 'Make a Woman Cry', 'Life Tracker Lee Jae Goo', 'Birth of a Beauty', 'Mama – Nothing to Fear', 'Hur Jun, The Original Story', '7th Grade Civil Servant', 'Immortal Classic', 'If Tomorrow Comes', 'Gye Baek', 'The Duo', 'Dong Yi', 'Jejoongwon', 'IRIS', 'Life Special Investigation Team', 'Yeon Gae Somun', 'Jang Gil San', 'King’s Woman', '2011 MBC Drama Award']"
1720,Choi Jong Nam,"['Always Spring', 'The Flower in Prison', 'TV Novel: Land of Gold', 'Why I’m Getting Married', 'Thorn flower']"
1721,Choi Jong Won,"['Bad Detective', 'Mr. Sunshine', 'Untouchable', 'Sweet Stranger and Me', 'Monster', 'Master: God of Noodles', 'Six Flying Dragons', 'Healer', 'Joseon Gunman', 'The Reputable Family', 'Hot Blood', 'Hometown Legends', 'Daughter in Law', 'Dae Wang Sejong', 'Auction House', 'Cloud Stairs', 'Special of My Life', 'Seoul 1945', 'Love Rollercoaster']"
1722,Choi Jong Yoon,"['To the Beautiful You', 'Paradise Ranch', 'Air City', 'Special of My Life']"
1723,Choi Joo Bong,"['Choi Kyu Hwa', 'The Merchant: Gaekju 2015', 'TV Novel – Eun Hee', 'I Summon You, Gold!', 'The Disappearance of the Member of Parliament', 'Stroke of Luck', 'I’m Glad I Loved You', 'Dae Mul', 'Harvest Villa', 'Everybody Cha Cha Cha', 'When It’s At Night', 'Dae Wang Sejong', 'I’m Sam', 'By My Side', 'Fugitive Lee Doo Young']"
1724,Choi Joo Won,['My Absolute Boyfriend']
1725,Choi Joon Ho,"['Introverted Boss', 'Another Miss Oh', 'The Producers']"
1726,Choi Joon Yong,"['Good Witch', 'Solomon’s Perjury', 'TV Novel – That Sun in the Sky', 'Yong Pal', 'The Three Female Runaways', 'Pride and Prejudice', 'TV Novel – Eun Hee', 'Crazy Love', 'The Chaser', 'Hometown Over the Hill 2', 'Pure Pumpkin Flower', 'Obstetrics and Gynecology Doctors', 'Empress Chun Chu', 'Temptation of Wife', 'Woman of Matchless Beauty, Park Jung Kum', 'Snow in August', 'Queen of the Game', 'Love Needs a Miracle', 'The Bizarre Bunch', 'Wonderful Life', 'The Immortal Lee Soon-Shin', 'All In', 'Rival', 'We Are Dating Now']"
1727,Choi Jung Hoon,"['Scent of a Woman', 'Life is Beautiful', 'My Man’s Woman']"
1728,Choi Jung Woo,"['I Hate You, Juliet!', 'Matrimonial Chaos', 'Shall We Live Together', 'Nothing to Lose', 'Unique Daughters-in-Law', 'The Legend of the Blue Sea', 'Goodbye Mr. Black', 'Five Children', 'I Have a Lover', 'Hidden Identity', 'Unkind Women', 'Iron Lady Cha', 'Dr. Frost', 'My Secret Hotel', 'Doctor Stranger', 'Will You Love and Give It Away?', 'The Master’s Sun', 'She is WOW', 'Advertising Genius Lee Tae Baek', 'My Daughter Seo Yeong', 'Ghost', 'God’s Quiz 3', 'Standby', 'Late Night Hospital', 'Poseidon', 'God’s Quiz 2', 'City Hunter', '49 Days', 'Midas', 'Queen of Reversals', 'God’s Quiz', 'Reason', 'Running', 'Prosecutor Princess', 'Hero', 'Shining Inheritance', 'Strongest Chil Woo', 'Yi San', 'Yeon Gae Somun', 'Alone in Love']"
1729,Choi Kang Won,"['You Will Love Me', 'The King’s Face', 'Lee Soon Shin is the Best']"
1730,Choi Ki Sub,['Wok of Love']
1731,Choi Kwang Il,"['Confession', 'Where Stars Land', 'Ping Pong Ball', 'Life', 'Rich Man', 'Wise Prison Life', 'Slow']"
1732,Choi Kwang Je,"['Miss Ma, Nemesis', 'Go Back Couple', 'The Package', 'Duel', 'Super Family', 'You’re Only Mine', 'Bachelor’s Vegetable Store']"
1733,Choi Kwi Hwa,"['Suits', 'Bad Guys: City of Evil', 'My Golden Life', 'Falsify', 'Vampire Detective', 'I’ve Got My Eye On You', 'Shine or Go Crazy', 'Misaeng', 'Ghost', 'Jejoongwon', 'I Can’t Stop', 'The Painter of the Wind']"
1734,Choi Kwon,"['Item', 'Kingdom', 'The Best Hit', 'The Legend of the Blue Sea', 'Producer', 'Tasty Life', 'The King 2hearts', 'Smile, You', 'Kimchi Cheese Smile', 'Mermaid Story', 'Over the Rainbow', 'A Love to Kill']"
1735,Choi Kwon Soo,"['Grand Prince', 'TV Novel – Dal Soon’s Spring', 'Perfect Wife', 'One More Happy Ending', 'Hwajung', 'The Brothers’ Summer', 'Super Daddy Yeol', 'Tomorrow Cantabile', 'Wonderful Days', '2015 KBS Drama Award']"
1736,Choi Kyu Hwan,"['Choi Joo Bon', 'Revolutionary Love', 'Woman with a Suitcase', 'Cinderella and the Four Knights', 'Who Are You – School 2015', 'The Superman Age', 'Dr. Frost', 'Bad Guys', 'Into the Flames', 'Cunning Single Lady', 'Aftermath', 'King’s Dream', 'Stroke of Luck', 'Belle', 'Yeon Gae Somun', 'Love Can’t Wait', 'Hello Franceska', 'Land']"
1737,Choi Kyu Jin,"['The Crowned Clown', 'Avengers Social Club']"
1738,Choi Min,"['Night Light', 'Mrs. Cop', 'A Daughter Just Like You', 'Bad Guys', 'Gap Dong', 'Wonderful Mama', 'Crazy Love', 'Cruel Palace – War of Flowers', '7th Grade Civil Servant', 'Oh Ja Ryong is Coming', 'It Was Love', 'Golden Time', 'Ghost', 'Late Blossom', 'Soldier', 'Ordinary Love', 'The King 2 Hearts', 'Strangers 6', 'Ten', 'Deep Rooted Tree', 'Vampire Prosecutor', 'Crime Squad', 'Sign', 'Queen of Reversals', 'Chosun Police 3', 'Secret Investigation Record', 'Giant', 'Chosun Police', 'Lobbyist', 'Money’s Warfare', 'Invincible Parachute Agent', 'Chosun Police', 'Bad Housewife', 'Green Rose', 'Super Rookie', 'Hong Kong Express', 'Land of Wine']"
1739,Choi Min Chul,"['Haechi', 'Black', 'The Flower in Prison', 'Sweet, Savage Family', 'Oh My Ghost', 'God’s Gift – 14 Days', 'That Kind of Love']"
1740,Choi Min Soo,"['Lawless Lawyer', 'Man Who Dies to Live', 'The Liar and His Lover', 'Jackpot', 'Yeong Joo', 'Pride and Prejudice', 'Sword and Flower', 'Do You Know Taekwondo?', 'Faith @ The Great Doctor', 'Happy Ending', 'Warrior Baek Dong Soo', 'Road Number One', 'Father’s House', 'The Legend', 'Something About 1%', 'Han River Ballad', 'South to the Sun', '2014 MBC Drama Award']"
1741,Choi Min Sung,"['Cinderella and Four Knights', 'Snow Lotus', 'Riders: Catch Tomorrow', 'Yong Pal', 'Super Daddy Yeol', 'A Cat! Meow', 'My Love, Madame Butterfly', 'The Women of Our Home', 'Pasta', 'Heading to the Ground', 'That Person Is Coming']"
1742,Choi Min Young,"['Mr. Sunshine', 'Seven Day Queen', 'Strong Woman Do Bong Soon', 'W', 'Entertainer', 'Memory', 'Heaven’s Promise']"
1743,Choi Moo In,"['The Crowned Clown', 'Strong Woman Do Bong Soon', 'Secret Love', 'Rememory']"
1744,Choi Moo Sung,"['Mung Bean Flower', 'Dazzling', 'Mr. Sunshine', 'Wise Prison Life', 'Lookout', 'Weightlifting Fairy Kim Bok Joo', 'My Wife’s Having an Affair this Week', 'Uncontrollably Fond', 'Reply 1988', 'Awl', 'Heart to Heart', 'Youth', 'Empress Ki', 'Cruel City', 'I Live in Cheongdam Dong', 'The Princess’ Man']"
1745,Choi Myung Kyung,"['Jungle Fish 2', 'Lobbyist', 'Mackerel Run', 'The Vineyard Man']"
1746,Choi Phillip,"['A Promise with the Gods', 'Baek Hee Has Returned', 'The Cravings 2', 'Tomorrow Victory', 'Rosy Lovers', 'King of High School Life Conduct', 'Let’s Eat', 'Case Number 113', 'Mandate of Heaven', 'The Empress', 'Star’s Lover', 'Cannot Hate You', 'Capital Scandal', 'Soulmate']"
1747,Choi Ro Woon,"['My Sassy Girl', 'My Little Baby', 'Flower of the Queen', 'Plus Nine Boys', 'Wild Chives and Soy Bean Soup: 12 Years Reunion', 'I Need Romance 3', 'King’s Daughter, Soo Baek Hyang', 'Golden Rainbow', 'Good Doctor', 'Eun Hee', 'The Great Seer', 'Big', 'My Daughter the Flower']"
1748,Choi Ryung,"['Risky Romance', 'Sweet Enemy', 'Endless Love', 'First Marriage', 'Aquarius', 'The Legend', 'Bad Woman, Good Woman']"
1749,Choi Sang Hak,"['Match Made in Heaven', 'Special of My Life']"
1750,Choi Sang Hoon,"['Always Spring', 'Bird That Doesn’t Cry', 'Hotel King', 'Everything Kimchi', 'Take My Hand', 'Jang Ok Jung', 'Incarnation of Money', 'Hur Jun, The Original Story', 'My Daughter Seo Young', 'Haeundae Lovers', 'Yellow Boots', 'On Air', 'Something About 1%']"
1751,Choi Seung Hoon,"['Miss Ma, Nemesis', 'The Guest', 'Devilish Joy', 'Hide and Seek', 'Switch: Change the World', 'Shall We Live Together', 'A Korean Odyssey', 'Black', 'Deserving of the Name', 'Hospital Ship', 'The Best Hit', 'Unique Daughters-in-Law', 'Tunnel', 'Strong Woman Do Bong Soon', 'Voice', 'The K2']"
1752,Choi Seung Kyung,"['Im Chae Wo', 'Neighborhood Lawyer Jo Deul Ho 2: Crime and Punishment', 'Seven Day Queen', 'Love & Secret', 'It’s Okay, It’s Love', 'Melody of Love', 'That Winter, The Wind Blows', 'A Faded Memory', 'Knife Barber', 'Oohlala Spouses', 'Please Marry Me', 'Typically Women', 'I Can’t Stop', 'My Precious Child', 'Spotlight', 'Hong Gil Dong', 'Even So Love', 'I Hate You, But It’s Fine', 'The Bizarre Bunch']"
1753,Choi Si Won,"['Super Junio', 'My Fellow Citizens', 'Revolutionary Love', 'Dramaworld', 'She Was Pretty', 'Masked Prosecutor', 'The King of Dramas', 'Poseidon', 'Athena: Goddess of War', 'Oh My Lady', 'Legend of Hyang Dan', 'Spring Waltz', '18 vs. 29', 'Precious Family']"
1754,Choi Soo Han,"['Reunited Worlds', 'What’s With Money?', 'Falling for Innocence', 'Hyde, Jekyll and I', 'Reset', 'The Prime Minister and I', 'Dong Yi', 'Hometown Legends', 'Empress Chun Chu', 'The Kingdom of The Winds', 'Strongest Chil Woo', 'Hong Gil Dong', 'The King and I', 'Mun Hee', 'Goong', 'Beating Heart', 'Super Rookie', 'Oh! Pil Seung And Bong Soon Young']"
1755,Choi Soo Jong,"['Ha Hee R', 'Cho Tae Kwa', 'My Only One', 'Imjin War 1592', 'Into the Flames', 'You’re Great, Really!', 'King’s Dream', 'For the Sake of Son', 'President ', 'Comrade', 'Hometown Legends', 'Dae Jo Yeong', 'Sea God', 'War of the Roses', '2018 KBS Drama Award', '2018 KBS Drama Award', '2011 KBS Drama Award']"
1756,Choi Suk Goo,"['Beautiful You', 'Blissful Woman', 'My Sweetheart My Darling']"
1757,Choi Sun Woo,['The Alchemist']
1758,Choi Sung Gook,"['Laurel Tree Tailors', 'High School – Love On', 'Endless Love', 'Ohlala Couple', 'Mischievous Kiss']"
1759,Choi Sung Ho,"['My Mother is a Daughter-In-Law', 'The Woman Who Married Three Times', 'City Hunter', 'War of the Roses', 'Smile, Mom', 'Prosecutor Princess', 'Money’s Warfare', '90 Days, Falling in Love Days', 'Land']"
1760,Choi Sung Jae,"['What’s Wrong, Poong Sang', 'My Husband Oh Jak Doo', 'Grand Prince', 'Temperature of Love', 'Circle', 'TV Novel – Sea of the Woman', 'Something About 1%', 'Doctors', 'Masked Prosecutor', 'Gap Dong', 'Feast of the Gods']"
1761,Choi Sung Jo,"['A Gentleman’s Dignity', 'Queen Seon Deok']"
1762,Choi Sung Joon,"['Wild Chives and Soy Bean Soup: 12 Years Reunion', 'Let’s Eat', 'I Hear Your Voice', 'Cheongdamdong Alice', 'It’s Okay, Daddy’s Girl', 'Mischievous Kiss', 'Goong', 'Han River Ballad']"
1763,Choi Sung Min (1973),"['Working Mom Parenting Daddy', 'Warm and Cozy', 'Hotel King', 'What Kind of Goodbye', 'The Greatest Love', 'Face Me and Smile', 'Big Sister', 'Bad Love', 'Marrying a Millionaire', 'Love Hymn', 'Tropical Nights in December']"
1764,Choi Sung Min (1995),"['Love to the End', 'Risky Romance', 'Reunited Worlds', 'School 2017', 'Here Comes Love', 'The Legendary Shuttle', 'My Dear Cat', 'Some Kind of Relationship', 'Something Like That']"
1765,Choi Sung Won,"['My Absolute Boyfriend', 'My ID Is Gangnam Beauty', 'The Miracle We Met', 'Wise Prison Life', 'Mirror of the Witch', 'Reply 1988', 'The Wind Blows to the Hope', 'The Disappearance of the Member of Parliament', 'Our Happy Days of Youth', 'Mirror of the Witc']"
1766,Choi Tae Hwan,"['The Secret Life of My Secretary', 'Witch’s Love', 'Queen of the Ring', 'Woman with a Suitcase', 'Madame Antoine', 'I’ve Got My Eye On You', 'Imaginary Cat', 'Scholar Who Walks the Night', 'My Secret Hotel', 'God’s Quiz 4', 'Secret Love Affair', 'The Heirs', 'Swamp Ecology Report']"
1767,Choi Tae Joon,"['Handsome Guy and Jung Eum', 'Exit', 'Suspicious Partner', '109 Unusual Things Have Happened', 'Missing Nine', 'The Flower in Prison', 'All About My Mom', 'The Girl Who Can See Smells', 'Mother’s Garden', 'Adolescence Medley', 'Ugly Alert', 'The Great Seer', 'The King of Dramas', 'Padam Padam… The Sound of His and Her Heartbeats', '2017 MBC Drama Award', '2014 MBC Drama Award']"
1768,Choi Won Hong,"['My Strange Hero', 'Big Forest', 'Two Cops', 'Black', 'Tunnel', 'Woman with a Suitcase', 'Pied Piper', 'The Village: Achiara’s Secret', 'Secret Door', 'Wild Chives and Soy Bean Soup: 12 Years Reunion', 'Kings Family', 'Faith @ The Great Doctor', 'Rooftop Prince', 'Queen Insoo', 'The Women of Our Home', 'My Princess', 'Mischievous Kiss', 'Running', 'The Queen Returns', 'Hometown Legends']"
1769,Choi Won Myung,"['Wok of Love', 'Witch’s Castle', 'The Great Wives']"
1770,Choi Won Tae,"['Cheese in the Trap', 'The Reputable Family', 'Partner', 'In-Soon is Pretty']"
1771,Choi Won Young,"['Shim Yi Youn', 'Mung Bean Flower', 'Doctor Prisoner', 'Sky Castle', 'Where Stars Land', 'Doubtful Victory', 'While You Were Sleeping', 'Mad Dog', 'Hwarang: The Beginning', 'Laurel Tree Tailors', 'Please Come Back, Mister', 'Second Time Twenty Years Old', 'Remember You', 'Kill Me, Heal Me', 'Secret Door', 'The Night Watchman', '3 Days', 'The Heirs', 'Wonderful Mama', 'Dating Agency: Cyrano', 'A Hundred Year’s Inheritance', 'Tasty Life', 'While You Were Sleeping', 'Stormy Lovers', 'After the Opera', 'Definitely Neighbors', 'Queen Seon Duk', 'Hometown Legends', 'Two Wives', 'You Are My Destiny', 'Belle', 'By Land and Sky', '2017 KBS Drama Award']"
1772,Choi Woo Hyuk (1985),"['Empress Chun Chu', 'Glass Slippers', 'Autumn Tale']"
1773,Choi Woo Hyuk (1993),['Yeonnam-dong 539']
1774,Choi Woo Sik,"['The Package', 'Third-Rate My Way', 'The Boy Next Door', 'My Fantastic Funeral', 'Ho Goo’s Love', 'Dream Knight', 'Pride and Prejudice', 'Fated to Love You', 'You’re All Surrounded', 'Principal Investigator – Save Wang Jo Hyun!', 'Who Are You?', 'Special Affairs Team TEN 2', 'Culprit Among Friends', 'Shut Up Family', 'Rooftop Prince', 'Special Affairs Team TEN', 'Live in Style', 'The Duo']"
1775,Choi Woo Suk,"['TV Novel – Sea of the Woman', 'Golden Cross', 'Thorn Flower', 'TV Novel: Dear My Sister', 'The Reputable Family', 'Erexion']"
1776,Choi Woong,"['I Hate You, Juliet!', '100 Days My Prince', 'Fighter Choi Kang Soon', 'Duel', 'Goblin', 'Weightlifting Fairy Kim Bok Joo', 'Descendants of the Sun', 'Finding Argenta', 'Oh My Ghost', 'You’re All Surrounded', 'Wonderful Days', 'Secret Love', 'Nine: Time Travel Nine Times', 'Bridal Mask']"
1777,Choi Yeong Min,['Love Cells 2']
1778,Choi Yong Min,"['Radiant Office', 'Everything Will Be OK', 'Mom', 'High Society', 'Missing Noir M', 'Family Secrets', '3 Days', 'Scandal : a Shocking and Wrongful Incident', 'Empire of Gold', 'Fermentation Family', 'Vampire Prosecutor', 'Athena: Goddess of War', 'The Scale of Providence', 'Before and After: Plastic Surgery Clinic', 'Bad Love', 'White Tower', 'The Invisible Man', 'Special Crime Investigation', 'Resurrection', 'Oh! Pil Seung And Bong Soon Young', 'Successful Story of a Bright Girl']"
1779,Chu Hun Yub,"['Ale', 'An Angel’s Choice', 'Indomitable Daughters-in-Law', 'My Princess', 'I’m Glad I Loved You', 'Bad Guy', 'Oh! My Lady', 'Soul', 'Hateful But Once Again', 'Yi San']"
1780,Chunji,['Yeonnam-dong 539']
1781,Chun Bo Geun,"['The Queen’s Classroom', 'The King’s Dream', 'You’re So Pretty', 'Gloria', 'Stars Falling From the Sky', '2013 MBC Drama Award', '2013 Apan Star Award']"
1782,Chun Ho Jin,"['Save Me 2', 'My Strange Hero', 'Life', 'My Golden Life', 'Lovers in Bloom', 'Man to Man', 'Chicago Typewriter', 'Moonlight Drawn by Clouds', 'Six Flying Dragons', 'Blue Bird’s House', 'Doctor Stranger', 'Wild Chives and Soy Bean Soup: 12 Years Reunion', 'Two Weeks', 'Good Doctor', 'Ugly Alert', 'All About My Romance', 'My Daughter Seo Yeong', 'Bridal Mask', 'Soldier', 'Saving Madame Go Bong Shil', 'Hooray for Love', 'City Hunter', 'Midas', 'Paradise Ranch', 'Gumiho: Tale of the Fox’s Child', 'Dong Yi', 'Will it Snow at Christmas?', 'Smile, You', 'Good Job, Good Job', 'Goong S', 'The Snow Queen', 'Three Leaf Clover', '2017 KBS Drama Award']"
1783,Chun Jae Ho,"['Golden Time', 'Foolish Mom', 'Tree With Deep Roots']"
1784,Chun Jung Myung,"['Fluttering Warning', 'Master: God of Noodles', 'Heart to Heart', 'Reset', 'Glory Jane @ Man of Honor', 'The Duo ', 'Cinderella’s Sister', 'What’s Up Fox?', 'Goodbye Solo', 'Fashion 70’s', '2011 KBS Drama Award']"
1785,CNU,"['Miss Ma, Nemesis', 'I Need a Fairy']"
1786,D.O.,"['100 Days My Prince', 'Be Positive', 'EXO Next Door', 'Remember You', 'It’s Okay, That’s Love', 'To The Beautiful You', '2nd The Seoul Award']"
1787,Dan Woo,"['Money Flower', 'Always Spring', 'A Girl Who Sees Smells', 'Mother’s Garden', 'Tight Family']"
1788,Daniel Henney,"['Dear My Friends', 'The Fugitive : Plan B', 'Spring Waltz', 'Hello Franceska', 'My Name is Kim Sam-Soon']"
1789,Daniel Lindemann,['Moorim School']
1790,Danny Ahn,"['Witch’s Castle', 'Yumi’s Room', 'Wild Chives and Soy Bean Soup: 12 Years Reunion', 'Fantastic Tower', 'Innocent Man', 'Goodbye Dear Wife', 'When Women Powder Twice', 'Lie to Me', 'Real School!', 'Fugitive: Plan B', 'The Woman Who Still Wants To Marry', 'Chuno', 'Innocent You']"
1791,David McInnis,"['Kill It', 'Mr. Sunshine', 'Argon', 'Man to Man', 'Descendants of the Sun', 'Gu Family Book', 'IRIS II', 'Hawaii Five-0 2', 'IRIS', 'Air City']"
1792,Defconn,"['A Poem a Day', 'The Best Hit', 'The Wind Blows to the Hope', 'What is Mom']"
1793,Dennis Oh,"['East of Eden', 'Witch Amusement', 'Sweet Spy']"
1794,Do Han,"['Let’s Marry', 'Hello My Teacher', 'Full House']"
1795,Do Ji Han,"['100 Days My Prince', 'Lovers in Bloom', 'Hwarang: The Beginning', 'Basketball', 'Incarnation of Money', 'Can’t Live without You', 'Real School!', 'Merchant Kim Man Deok', 'Will it Snow at Christmas?', 'The Queen Returns']"
1796,Do Ki Suk,"['Haechi', 'Doubtful Victory', 'Second To Last Love', 'My Heart Twinkle Twinkle', 'Endless Love', 'The Great Seer', 'Jejoongwon', 'Iljimae', 'Sea God']"
1797,Do Sang Woo,"['The Smile Has Left Your Eyes', 'My Daughter, Geum Sa Wol', 'Ex-Girlfriend Club', 'The Legendary Witch', 'It’s Okay, That’s Love', 'Flower Boy Ramyun Shop']"
1798,Do Yong Goo,"['Ruler: Master of the Mask', 'Mrs. Cop']"
1799,Dok Go Young Jae,"['Bravo My Life', 'Good Person', 'I Have a Lover', 'Late Night Restaurant', 'A Cat! Meow', 'Into the Flames', 'Noble Woman', 'Pretty Man', 'A Tale of Two Sisters', '7th Grade Civil Servant', 'TV Novel – Sam Saeng', 'Oh Ja Ryong is Coming', 'Saving Madame Go Bong Shil', 'Just You', 'Royal Family', 'Pink Lipstick', 'Queen Seon Deok', 'Innocent You', 'The Legend', 'Queen of Ahyun', 'Here Comes Ajumma', 'Let’s Go To The Beach', 'Nine Tailed Fox', 'One Million Roses']"
1800,Dong Ho,"['Holyland', 'Royal Family', 'Real School!', 'I Am Legend']"
1801,Dong Hyun Bae,"['Trap', 'The Best Hit', 'Shut Up Flower Boy Band']"
1802,Donghyun,['The Miracle']
1803,Eli,"['U-kis', 'Real School!', 'I Am Legend']"
1804,Eric ,"['Shinhw', 'Another Miss Oh', 'Discovery of Romance', 'Myung Wol the Spy', 'Strongest Chil Woo', 'Que Sera, Sera', 'Wolf', 'Invincible Parachute Agent', 'Super Rookie', 'Phoenix', 'Breathless', '2016 tvN10 Award', '2014 KBS Drama Award', '2014 KBS Drama Award', '2014 KBS Drama Award']"
1805,Eru,['You Are Too Much']
1806,Eun Hyuk,"['Super Junio', 'Dream High Season 1']"
1807,Eun Ji Won,"['Divorced on 8/201', 'My Wife’s Having an Affair this Week', 'Reply 1994', 'Reply 1997', 'New Heart']"
1808,Eun Won Jae,"['I Need a Fairy', 'Spring Waltz', 'Yeon Gae Somun', 'Fashion 70’s']"
1809,Fabian,"['Mr. Sunshine', 'High School – Love On', 'Dr. Jin']"
1810,G.O,"['Pure Love', 'Ghost', 'K-POP – The Ultimate Audition', 'Salamander Guru', 'Welcome to the Show']"
1811,Geum Ho Suk,"['Lovers in Bloom', 'Strange Family', 'Baby-faced Beauty', 'Mary Stayed Out All Night', 'Wife Returns', 'The World That They Live In', 'Please Come Back, Soon-Ae']"
1812,Go Chang Suk,"['Lee Jung Eu', 'Encounter', 'The Miracle We Met', 'The Best Hit', 'Reply 1988', 'Kill Me, Heal Me', 'The Night Watchman', 'Good Doctor', 'Monstar', 'Advertising Genius Lee Tae Baek', 'Dream']"
1813,Go Hyun,"['Cheese in the Trap', 'Ex-Girlfriend Club']"
