,Actor,Shows
41,Baek Jin Hee,"['Feel Good To Die', 'Let’s Eat 3', 'Jugglers', 'Missing Nine', 'My Daughter, Geum Sa Wol', 'Pride and Prejudice', 'Triangle', 'Empress Ki', 'I Summon You, Gold!', 'Jeon Woo Chi', 'High Kick 3: The Revenge of the Short Legged', 'Hair Show', 'Secret Garden', 'Loving You a Thousand Times', '2018 KBS Drama Award', '2018 KBS Drama Award', '2015 MBC Drama Award', '2014 MBC Drama Award', '2013 MBC Drama Award']"
42,Baek Joo Hee,['Lawless Lawyer']
43,Baek Ok Dam,"['The Eccentric Daughter-in-Law', 'Apgujeong Midnight Sun', 'Princess Aurora', 'Syndrome', 'New Tales of Gisaeng', 'Queen of Ahyun']"
44,Baek Sang Hee,"['When Time Stops', 'Mr. Sunshine', 'Man Who Sets the Table', 'Revolutionary Love', 'Manhole']"
45,Baek Seo Yi,"['My Golden Life', 'Golden Pouch', 'Let’s Fight Ghost']"
46,Baek Seung Hee,"['Sunny Again Tomorrow', 'A Korean Odyssey', 'Bird That Doesn’t Cry', 'TV Novel – Land Of Gold', 'May Queen', 'I Do, I Do', 'Me Too, Flower!', 'Crime Squad', 'Secret Garden', 'High Kick Through The Roof', 'Queen of Housewives', 'I Hate You, But It’s Fine']"
47,Baek So Mi,"['Kim Soo Ro', 'Here Comes Ajumma', 'Sea God']"
48,Baek Song Yi,['The King Loves']
49,Baek Soo Ryun,"['It’s My Life', 'Children of a Lesser God', 'Bad Families', 'Hospital Ship', 'Man to Man', 'The Liar and His Lover', 'Strong Woman Do Bong Soon', 'The Shining Eun Soo', 'Marriage Contract', 'TV Novel – The Stars Are Shining', 'Hwajung', 'Pride and Prejudice', 'Our Joyful Young Days']"
50,Ban Hyo Jung,"['My Healing Love', 'TV Novel – Waves, Waves', 'Hate To Love You', 'Bravo My Life', 'TV Novel – Sea of the Woman', 'Saimdang, Light’s Diary', 'Blow Breeze', 'Strange Family', 'Memory', 'Oh My Venus', 'Beautiful You', 'Mom', 'Second Time Twenty Years Old', 'Last', 'Save the Family', 'Rosy Lovers', 'Cheongdamdong Scandal', 'Ugly Alert', 'Melody of Love', 'Goddess of Marriage', 'TV Novel – Eun Hee', 'I Summon You, Gold!', 'TV Novel – Sam Saeng', 'I’ll Give You The Stars and The Moon', 'Rooftop Prince', 'Brain', 'A Thousand Kisses', 'The Women of Our Home', 'Romance Town', 'Pure Pumpkin Flower', 'Definitely Neighbors', 'Creating Destiny', 'Shining Inheritance', 'The Road Home', 'Empress Chun Chu', 'Star’s Lover', 'Hometown over the Hill', 'That Woman is Scary', 'By Land and Sky', 'As the River Flows', 'My Sweetheart My Darling', 'Dear Heaven', 'Second Proposal', 'Terms of Endearment', 'One Million Roses']"
